tanggal,jenis_kejadian_bencana,kelurahan,kecamatan,wilayah,taksiran_kerugian,keterangan_jkb
2/14/2020,Penyelamatan,Dukuh,Kramat Jati,Jakarta Timur,0,Pengendalian Hewan
2/14/2020,Kebakaran,Pengadegan,Pancoran,Jakarta Selatan,"110,000,000",Bencana Kebakaran
2/14/2020,Penyelamatan,Pela Mampang,Mampang Prapatan,Jakarta Selatan,0,Pengendalian Hewan
2/14/2020,Penyelamatan,Kalideres,Kalideres,Jakarta Barat,0,Pengendalian Hewan
2/14/2020,Kebakaran,Kamal,Kalideres,Jakarta Barat,"10,000,000",Bencana Kebakaran
2/15/2020,Penyelamatan,Jati,Pulogadung,Jakarta Timur,0,Pengendalian Hewan
2/15/2020,Kebakaran,Pademangan Barat,Pademangan,Jakarta Utara,"150,000,000",Bencana Kebakaran
2/15/2020,Penyelamatan,Tanah Sereal,Tambora,Jakarta Barat,0,Pengendalian Hewan
2/15/2020,Penyelamatan,Petogogan,Kebayoran Baru,Jakarta Selatan,0,Operasi Penyelamatan Lainnya
2/15/2020,Kebakaran,Mangga Besar,Tamansari,Jakarta Barat,"3,660,000,000",Bencana Kebakaran
2/15/2020,Penyelamatan,Tugu Utara,Koja,Jakarta Utara,0,Pengendalian Hewan
2/15/2020,Penyelamatan,Pejaten Timur,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
2/15/2020,Penyelamatan,Petukangan Selatan,Pesanggrahan,Jakarta Selatan,0,Pengendalian Hewan
2/15/2020,Kebakaran,Kebayoran lama Utara,Kebayoran Lama,Jakarta Selatan,"3,500,000",Bencana Kebakaran
2/15/2020,Penyelamatan,Pinang Ranti,Makasar,Jakarta Timur,0,Pengendalian Hewan
2/15/2020,Penyelamatan,Petogogan,Kebayoran Baru,Jakarta Selatan,0,Pengendalian Hewan
2/15/2020,Penyelamatan,Lenteng Agung,Jagakarsa,Jakarta Selatan,0,Pengendalian Hewan
2/15/2020,Penyelamatan,Kebagusan,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
2/15/2020,Penyelamatan,Cengkareng Barat,Cengkareng,Jakarta Barat,0,Evakuasi Banjir / Penyelamatan Air 
2/15/2020,Kebakaran,Kembangan Utara,Kembangan,Jakarta Barat,0,Bencana Kebakaran
2/16/2020,Penyelamatan,Pekayon,Pasar Rebo,Jakarta Timur,0,Pengendalian Hewan
2/16/2020,Kebakaran,Kalibata,Pancoran,Jakarta Selatan,"5,000,000",Bencana Kebakaran
2/16/2020,Penyelamatan,Cilandak Barat,Cilandak,Jakarta Selatan,0,Pengendalian Hewan
2/16/2020,Penyelamatan,Kebon Kosong,Kemayoran,Jakarta Pusat,0,Pengendalian Hewan
2/16/2020,Penyelamatan,Kamal,Kalideres,Jakarta Barat,0,Pohon Tumbang
2/16/2020,Penyelamatan,Cengkareng Barat,Cengkareng,Jakarta Barat,0,Pohon Tumbang
2/16/2020,Penyelamatan,Gelora,Tanah Abang,Jakarta Pusat,0,Pohon Tumbang
2/16/2020,Penyelamatan,Klender,Duren Sawit,Jakarta Timur,0,Pohon Tumbang
2/16/2020,Penyelamatan,Sunter Agung,Tanjung Priok,Jakarta Utara,0,Pengendalian Hewan
2/16/2020,Penyelamatan,Kota Bambu Selatan,Palmerah,Jakarta Barat,0,Pohon Tumbang
2/16/2020,Bantuan Operasi,Jatinegara,Cakung,Jakarta Timur,0,Penyedotan genangan Air
2/16/2020,Penyelamatan,Batu Ampar,Kramat Jati,Jakarta Timur,0,Pohon Tumbang
2/16/2020,Penyelamatan,Ciracas,Ciracas,Jakarta Timur,0,Pengendalian Hewan
2/16/2020,Penyelamatan,Jatinegara,Cakung,Jakarta Timur,0,Evakuasi Banjir / Penyelamatan Air 
2/16/2020,Kebakaran,Mangga Besar,Tamansari,Jakarta Barat,0,Bencana Kebakaran
2/17/2020,Penyelamatan,Halim Perdana Kusuma,Makasar,Jakarta Timur,0,Penyelamatan Transportasi
2/16/2020,Penyelamatan,Cipedak,Jagakarsa,Jakarta Selatan,0,Pengendalian Hewan
2/16/2020,Bantuan Operasi,Gambir,Gambir,Jakarta Pusat,0,Kesiagaan/Penjagaan
2/16/2020,Bantuan Operasi,Menteng,Menteng,Jakarta Pusat,0,Kerja Bakti
