name,latitude,longitude,,,,,,,,
Cipayung,-6.329545,106.8930244,,,,,,,,
Semanan,-6.1674843,106.7027259,,,,,,,,
Kalideres,-6.1509293,106.699636,,,,,,,,
Mangga Dua Selatan,-6.1414295,106.8282223,,,,,,,,
Karang Anyar,-6.1546781,106.8290162,,,,,,,,
Susukan,-6.3122872,106.8674261,,,,,,,,
Tangki,-6.1465657,106.8233031,,,,,,,,
Kelapa Dua Wetan,-6.3391721,106.8831808,,,,,,,,
Tanjung Duren Selatan,-6.1795103,106.7886838,,,,,,,,
Kebayoran Lama Utara,-6.2448215,106.7782383,,,,,,,,
Ulujami,-6.234164,106.7626018,,,,,,,,
Petukangan Selatan,-6.243428,106.7536421,,,,,,,,
Pulo,-6.2540311,106.8025524,,,,,,,,
Petogogan,-6.2432098,106.8114672,,,,,,,,
Rawa Badak Utara,-6.1197778,106.8978539,,,,,,,,
Cengkareng Timur,-6.1409572,106.7353678,,,,,,,,
Kapuk,-6.1391425,106.7522077,,,,,,,,
Pademangan Timur,-6.1382734,106.8473205,,,,,,,,
Pademangan Barat,-6.134204,106.8361018,,,,,,,,
Kali Baru,-6.1040448,106.9232529,,,,,,,,
Ancol,-6.125215,106.8362474,,,,,,,,
Jaticempaka,-6.2612725,106.9106305,,,,,,,17416,"Kelurahan Jaticempaka, Kecamatan Pondokgede"
Pengasinan,-6.2686991,107.0091417,,,,,,,,
Pekopen,-6.269824,107.0587947,,,,,,,,
Wangunharja,-6.2963061,107.1264729,,,,,,,,
Pejagalan,-6.1335,106.7843,,,,,,,,
